Date,.DXY (TRDPRC_1)
,Close
27/3/2024,104.389
26/3/2024,104.235
25/3/2024,104.473
22/3/2024,104.004
21/3/2024,103.414
20/3/2024,103.839
19/3/2024,103.594
18/3/2024,103.432
15/3/2024,103.432
14/3/2024,103.36
13/3/2024,102.789
12/3/2024,102.957
11/3/2024,102.869
08/3/2024,102.712
07/3/2024,102.823
06/3/2024,103.369
05/3/2024,103.798
04/3/2024,103.832
01/3/2024,103.861
29/2/2024,104.156
28/2/2024,103.975
27/2/2024,103.829
26/2/2024,103.827
23/2/2024,103.936
22/2/2024,103.957
21/2/2024,104.006
20/2/2024,104.079
19/2/2024,104.291
16/2/2024,104.296
15/2/2024,104.296
14/2/2024,104.723
13/2/2024,104.96
12/2/2024,104.17
09/2/2024,104.111
08/2/2024,104.165
07/2/2024,104.057
06/2/2024,104.213
05/2/2024,104.452
02/2/2024,103.922
01/2/2024,103.048
31/1/2024,103.274
30/1/2024,103.397
29/1/2024,103.609
26/1/2024,103.433
25/1/2024,103.574
24/1/2024,103.236
23/1/2024,103.617
22/1/2024,103.331
19/1/2024,103.288
18/1/2024,103.536
17/1/2024,103.45
16/1/2024,103.357
15/1/2024,102.404
12/1/2024,102.404
11/1/2024,102.291
10/1/2024,102.362
09/1/2024,102.57
08/1/2024,102.209
05/1/2024,102.412
04/1/2024,102.422
03/1/2024,102.494
02/1/2024,102.2
29/12/2023,101.333
28/12/2023,101.229
27/12/2023,100.986
26/12/2023,101.466
22/12/2023,101.698
21/12/2023,101.843
20/12/2023,102.408
19/12/2023,102.167
18/12/2023,102.561
15/12/2023,102.55
14/12/2023,101.956
13/12/2023,102.869
12/12/2023,103.865
11/12/2023,104.095
08/12/2023,104.01
07/12/2023,103.541
06/12/2023,104.153
05/12/2023,104.05
04/12/2023,103.712
01/12/2023,103.268
30/11/2023,103.497
29/11/2023,102.765
28/11/2023,102.746
27/11/2023,103.199
24/11/2023,103.403
23/11/2023,103.768
22/11/2023,103.92
21/11/2023,103.565
20/11/2023,103.438
17/11/2023,103.917
16/11/2023,104.349
15/11/2023,104.394
14/11/2023,104.053
13/11/2023,105.631
10/11/2023,105.861
09/11/2023,105.91
08/11/2023,105.593
07/11/2023,105.542
06/11/2023,105.215
03/11/2023,105.021
02/11/2023,106.124
01/11/2023,106.884
31/10/2023,106.663
30/10/2023,106.12
27/10/2023,106.559
26/10/2023,106.602
25/10/2023,106.528
24/10/2023,106.27
23/10/2023,105.536
20/10/2023,106.163
19/10/2023,106.253
18/10/2023,106.565
17/10/2023,106.25
16/10/2023,106.243
13/10/2023,106.648
12/10/2023,106.599
11/10/2023,105.82
10/10/2023,105.825
09/10/2023,106.083
06/10/2023,106.044
05/10/2023,106.332
04/10/2023,106.799
03/10/2023,107
02/10/2023,106.904
29/9/2023,106.224
28/9/2023,106.224
27/9/2023,106.666
26/9/2023,106.231
25/9/2023,105.998
22/9/2023,105.583
21/9/2023,105.363
20/9/2023,105.12
19/9/2023,105.157
18/9/2023,105.202
15/9/2023,105.322
14/9/2023,105.405
13/9/2023,104.766
12/9/2023,104.711
11/9/2023,104.569
08/9/2023,105.09
07/9/2023,105.059
06/9/2023,104.861
05/9/2023,104.807
04/9/2023,104.236
01/9/2023,104.236
31/8/2023,103.619
30/8/2023,103.157
29/8/2023,103.531
28/8/2023,104.058
25/8/2023,104.077
