date,EUR,JPY,GBP,AUD,CAD,CHF,CNY,HKD,SEK,NOK,SGD,NZD,KRW,MXN,RUB,INR,BRL,PLN,DKK
2000-01-01,0.993161,102.254548,0.618877,1.532914,1.450456,1.59518,8.27,7.77181,8.524222,8.019759,1.665825,1.918709,1134.213081,9.474097,27.482769,43.49413,1.80602,4.139658,7.397369
2000-01-02,0.993161,102.254548,0.618877,1.532914,1.450456,1.59518,8.27,7.77181,8.524222,8.019759,1.665825,1.918709,1134.213081,9.474097,27.482769,43.49413,1.804029,4.139658,7.397369
2000-01-03,0.980273,101.697917,0.614647,1.517177,1.445373,1.577484,8.2749,7.78431,8.451578,7.98198,1.658627,1.909349,1128.189927,9.462932,27.605723,43.532065,1.809771,4.146184,7.359122
2000-01-04,0.970565,103.030563,0.610927,1.523549,1.450996,1.557497,8.27495,7.779872,8.365699,7.916581,1.652515,1.919317,1122.965813,9.474138,27.562277,43.532065,1.829093,4.116739,7.21894
2000-01-05,0.967954,103.911801,0.609433,1.522315,1.45096,1.552237,8.2749,7.777034,8.347592,7.920934,1.655674,1.928254,1134.895485,9.535579,27.179507,43.532065,1.847602,4.1114,7.188352
2000-01-06,0.968553,105.083968,0.606829,1.526166,1.456225,1.549882,8.27485,7.780014,8.347016,7.910416,1.664535,1.93761,1147.428345,9.583633,27.580348,43.532065,1.840592,4.100212,7.180229
2000-01-07,0.97222,105.163441,0.609844,1.527729,1.455932,1.563685,8.2747,7.779771,8.413414,7.969577,1.662132,1.937378,1137.33709,9.537637,27.393553,43.532065,1.834543,4.073998,7.237125
2000-01-08,0.972742,105.128744,0.609804,1.528074,1.45778,1.564344,8.27,7.779021,8.418981,7.974527,1.661509,1.93502,1136.788399,9.52776,27.393553,43.51413,1.829187,4.073998,7.244835
2000-01-09,0.972742,105.128744,0.609804,1.528074,1.45778,1.564344,8.27,7.779021,8.418981,7.974527,1.661509,1.93502,1136.788399,9.52776,27.393553,43.51413,1.82943,4.073998,7.244835
2000-01-10,0.975555,105.073585,0.610881,1.523761,1.455151,1.570682,8.2747,7.773435,8.455588,8.012392,1.660633,1.935619,1133.186802,9.436485,28.2172,43.532065,1.826759,4.063643,7.269187
2000-01-11,0.969718,106.043898,0.607822,1.52267,1.457421,1.563438,8.27475,7.778467,8.421279,7.988853,1.66939,1.936497,1146.988264,9.488141,28.767864,43.569565,1.82213,4.072543,7.241687
2000-01-12,0.970791,105.854072,0.60688,1.519244,1.455224,1.563075,8.2748,7.775598,8.410894,7.972276,1.667832,1.929275,1144.712649,9.509039,28.62816,43.569565,1.859051,4.058692,7.226789
2000-01-13,0.974275,106.069147,0.607711,1.498852,1.449747,1.570048,8.275585,7.780339,8.416205,7.951206,1.668459,1.910919,1135.725134,9.516989,28.581728,43.528967,1.82092,4.06306,7.24409
2000-01-14,0.985103,105.73317,0.610468,1.499955,1.449872,1.587126,8.275556,7.778804,8.450141,7.971359,1.675172,1.918007,1124.598429,9.45732,28.482005,43.519502,1.804999,4.074817,7.306083
2000-01-15,0.981948,105.690306,0.610106,1.500281,1.449096,1.584298,8.27,7.777854,8.443171,7.959619,1.675011,1.918991,1124.130249,9.445567,28.482005,43.51413,1.793956,4.074817,7.290173
2000-01-16,0.981948,105.690306,0.610106,1.500281,1.449096,1.584298,8.27,7.777854,8.443171,7.959619,1.675011,1.918991,1124.130249,9.445567,28.482005,43.51413,1.79381,4.074817,7.290173
2000-01-17,0.988316,104.997031,0.612275,1.505331,1.450226,1.596452,8.273498,7.78747,8.476993,8.005639,1.675143,1.927052,1122.564706,9.427033,28.680391,43.687814,1.800749,4.092827,7.354935
2000-01-18,0.988378,105.54081,0.611169,1.505842,1.449858,1.595525,8.275441,7.777545,8.47728,8.025667,1.672411,1.935176,1125.989481,9.434168,28.605982,43.57724,1.793282,4.083721,7.36876
2000-01-19,0.988328,105.556114,0.609303,1.507036,1.451329,1.59527,8.275564,7.78108,8.488585,7.994729,1.676363,1.938226,1133.869284,9.418463,28.451463,43.562623,1.796375,4.102425,7.365787
2000-01-20,0.985963,105.400786,0.60562,1.502522,1.448224,1.592372,8.275478,7.779204,8.486744,8.004196,1.675299,1.944407,1125.459784,9.407215,28.649572,43.563838,1.785617,4.086629,7.368298
2000-01-21,0.990347,104.733798,0.605859,1.507963,1.442527,1.595623,8.275504,7.778944,8.500239,7.998305,1.67784,1.950844,1126.961397,9.437436,28.684626,43.561579,1.782188,4.08557,7.372686
2000-01-22,0.990647,104.668997,0.605814,1.507237,1.442739,1.595461,8.27,7.777894,8.503706,7.996508,1.677469,1.949835,1125.489916,9.441419,28.684626,43.53913,1.774794,4.08557,7.371586
2000-01-23,0.990647,104.668997,0.605814,1.507237,1.442739,1.595461,8.27,7.777894,8.503706,7.996508,1.677469,1.949835,1125.489916,9.441419,28.684626,43.53913,1.774794,4.08557,7.371586
2000-01-24,0.997042,105.464458,0.605323,1.527652,1.441741,1.607645,8.275284,7.785316,8.529625,8.023793,1.683009,1.973451,1125.009386,9.47274,28.567731,43.625768,1.768594,4.098634,7.426142
2000-01-25,0.99774,105.783594,0.60758,1.52725,1.439793,1.609441,8.275193,7.781937,8.512829,8.032744,1.684358,1.966269,1126.686574,9.527394,28.586808,43.604728,1.776372,4.138989,7.425125
2000-01-26,0.998668,105.79562,0.609487,1.531988,1.437839,1.609618,8.275058,7.782123,8.524135,8.056857,1.693409,1.97116,1127.172694,9.513545,28.692855,43.595115,1.779528,4.131949,7.429476
2000-01-27,1.010176,105.229118,0.610524,1.529239,1.435417,1.62559,8.275088,7.775491,8.586465,8.118021,1.689308,1.968891,1124.062555,9.507195,28.670865,43.568193,1.780335,4.126804,7.484527
2000-01-28,1.02212,106.421929,0.615979,1.571297,1.443681,1.643856,8.275037,7.77982,8.703326,8.218155,1.706337,2.024821,1120.877066,9.560655,28.629785,43.604277,1.789807,4.162368,7.577283
2000-01-29,1.019068,106.146528,0.61567,1.563509,1.441342,1.641941,8.27,7.78052,8.634413,8.216308,1.700238,1.998328,1121.738835,9.560448,28.629785,43.56413,1.787635,4.162368,7.557976
2000-01-30,1.019068,106.146528,0.61567,1.563509,1.441342,1.641941,8.27,7.78052,8.634413,8.216308,1.700238,1.998328,1121.738835,9.560448,28.629785,43.56413,1.789565,4.162368,7.557976
2000-01-31,1.027513,107.196386,0.618227,1.572878,1.449351,1.650606,8.274896,7.782318,8.803744,8.268518,1.700294,2.024513,1123.798917,9.619276,28.548126,43.646308,1.806138,4.203146,7.609508
2000-02-01,1.028038,107.74905,0.619515,1.579927,1.44954,1.654946,8.274811,7.779924,8.807153,8.30148,1.698572,2.034132,1126.037623,9.593554,28.465685,43.631103,1.792616,4.22173,7.660016
2000-02-02,1.025256,108.406725,0.62257,1.570646,1.444459,1.65326,8.27478,7.782356,8.74131,8.242305,1.698892,2.04323,1129.865718,9.587402,28.822415,43.630824,1.789704,4.252135,7.646445
2000-02-03,1.013385,108.07279,0.625197,1.570502,1.440789,1.63428,8.275027,7.780779,8.665252,8.213223,1.693661,2.026368,1129.04077,9.490215,28.72462,43.612663,1.779147,4.185987,7.578448
2000-02-04,1.01983,107.532583,0.629172,1.578217,1.442985,1.637738,8.275257,7.786108,8.630023,8.236584,1.691816,2.030098,1129.457064,9.488483,28.889084,43.654791,1.779596,4.172649,7.69665
2000-02-05,1.017089,107.532158,0.629247,1.575616,1.441747,1.634581,8.27,7.786475,8.613443,8.221144,1.690632,2.029562,1127.318828,9.476367,28.889084,43.65906,1.771684,4.172649,7.895877
2000-02-06,1.017089,107.532158,0.629247,1.575616,1.441747,1.634581,8.27,7.786475,8.613443,8.221144,1.690632,2.029562,1127.318828,9.476367,28.889084,43.65906,1.773515,4.172649,7.895877
2000-02-07,1.021503,108.69269,0.627509,1.571496,1.443039,1.641985,8.275251,7.784741,8.654656,8.253764,1.695305,2.021456,1129.006915,9.445094,28.699881,43.630971,1.770946,4.192485,7.611257
2000-02-08,1.013483,109.236319,0.62213,1.577641,1.44801,1.627617,8.275262,7.781491,8.582028,8.165021,1.695789,2.025558,1128.352399,9.408594,28.876999,43.630366,1.76294,4.13612,7.529237
2000-02-09,1.007853,109.018381,0.620323,1.574453,1.443696,1.621336,8.275276,7.774869,8.547257,8.14032,1.690609,2.0245,1122.807686,9.387694,28.572532,43.636273,1.764427,4.134488,7.498174
2000-02-10,1.013789,108.730094,0.621576,1.582137,1.449708,1.628231,8.275252,7.781471,8.586547,8.176489,1.692179,2.028298,1121.155857,9.429462,28.793285,43.600853,1.772838,4.153121,7.544773
2000-02-11,1.015169,109.181956,0.627119,1.585741,1.44919,1.631749,8.275271,7.781797,8.60568,8.203702,1.695197,2.033104,1114.410599,9.424875,28.985163,43.649155,1.769159,4.153352,7.584522
2000-02-12,1.016797,109.266761,0.62708,1.585462,1.448284,1.632095,8.27,7.782031,8.595124,8.196372,1.69443,2.033808,1113.110892,9.426159,28.985163,43.65906,1.777541,4.153352,7.591605
2000-02-13,1.016797,109.266761,0.62708,1.585462,1.448284,1.632095,8.27,7.782031,8.595124,8.196372,1.69443,2.033808,1113.110892,9.426159,28.985163,43.65906,1.777541,4.153352,7.591605
2000-02-14,1.019459,108.570589,0.629149,1.589914,1.453544,1.636146,8.274961,7.778868,8.635688,8.207421,1.695701,2.048177,1125.76042,9.402782,28.704896,43.636313,1.771497,4.144928,7.568075
